PID: 0 | Name: System Idle Process
PID: 4 | Name: System
PID: 272 | Name: Registry
PID: 840 | Name: smss.exe
PID: 1108 | Name: csrss.exe
PID: 1208 | Name: wininit.exe
PID: 1216 | Name: csrss.exe
PID: 1284 | Name: services.exe
PID: 1292 | Name: lsass.exe
PID: 1372 | Name: winlogon.exe
PID: 1440 | Name: svchost.exe
PID: 1488 | Name: chrome.exe
PID: 1508 | Name: svchost.exe
PID: 1540 | Name: fontdrvhost.exe
PID: 1548 | Name: fontdrvhost.exe
PID: 1584 | Name: WUDFHost.exe
PID: 1600 | Name: svchost.exe
PID: 1684 | Name: svchost.exe
PID: 1732 | Name: svchost.exe
PID: 1816 | Name: dwm.exe
PID: 1848 | Name: svchost.exe
PID: 1884 | Name: svchost.exe
PID: 1908 | Name: svchost.exe
PID: 1928 | Name: svchost.exe
PID: 1948 | Name: svchost.exe
PID: 1992 | Name: svchost.exe
PID: 2060 | Name: WUDFHost.exe
PID: 2080 | Name: svchost.exe
PID: 2088 | Name: svchost.exe
PID: 2096 | Name: svchost.exe
PID: 2104 | Name: svchost.exe
PID: 2192 | Name: svchost.exe
PID: 2336 | Name: IntelCpHDCPSvc.exe
PID: 2364 | Name: svchost.exe
PID: 2408 | Name: svchost.exe
PID: 2420 | Name: svchost.exe
PID: 2476 | Name: svchost.exe
PID: 2488 | Name: svchost.exe
PID: 2520 | Name: svchost.exe
PID: 2660 | Name: svchost.exe
PID: 2740 | Name: svchost.exe
PID: 2792 | Name: svchost.exe
PID: 2828 | Name: svchost.exe
PID: 2884 | Name: svchost.exe
PID: 2944 | Name: svchost.exe
PID: 3088 | Name: helperservice.exe
PID: 3220 | Name: msedgewebview2.exe
PID: 3260 | Name: conhost.exe
PID: 3308 | Name: spoolsv.exe
PID: 3320 | Name: svchost.exe
PID: 3368 | Name: svchost.exe
PID: 3376 | Name: svchost.exe
PID: 3384 | Name: svchost.exe
PID: 3392 | Name: svchost.exe
PID: 3508 | Name: MemCompression
PID: 3568 | Name: svchost.exe
PID: 3616 | Name: svchost.exe
PID: 3644 | Name: svchost.exe
PID: 3660 | Name: svchost.exe
PID: 3788 | Name: svchost.exe
PID: 3820 | Name: svchost.exe
PID: 3952 | Name: svchost.exe
PID: 4028 | Name: svchost.exe
PID: 4064 | Name: AsusOptimization.exe
PID: 4072 | Name: svchost.exe
PID: 4080 | Name: svchost.exe
PID: 4136 | Name: svchost.exe
PID: 4216 | Name: svchost.exe
PID: 4284 | Name: svchost.exe
PID: 4300 | Name: svchost.exe
PID: 4408 | Name: RtkAudUService64.exe
PID: 4416 | Name: smartscreen.exe
PID: 4492 | Name: AsusAppService.exe
PID: 4500 | Name: AsusSoftwareManager.exe
PID: 4508 | Name: AsusSwitch.exe
PID: 4516 | Name: EMP_MPENSV.exe
PID: 4524 | Name: AsusSystemAnalysis.exe
PID: 4532 | Name: svchost.exe
PID: 4544 | Name: AsusSystemDiagnosis.exe
PID: 4568 | Name: IntelAudioService.exe
PID: 4576 | Name: OneApp.IGCC.WinService.exe
PID: 4584 | Name: IntelAnalyticsService.exe
PID: 4592 | Name: GlideXService.exe
PID: 4600 | Name: GlideXNearService.exe
PID: 4608 | Name: GlideXRemoteService.exe
PID: 4616 | Name: GlideXServiceExt.exe
PID: 4624 | Name: svchost.exe
PID: 4632 | Name: svchost.exe
PID: 4652 | Name: svchost.exe
PID: 4672 | Name: OfficeClickToRun.exe
PID: 4700 | Name: DtsApo4Service.exe
PID: 4716 | Name: ipfsvc.exe
PID: 4740 | Name: chrome.exe
PID: 4772 | Name: svchost.exe
PID: 4812 | Name: jhi_service.exe
PID: 4864 | Name: MpDefenderCoreService.exe
PID: 4892 | Name: ipf_uf.exe
PID: 4968 | Name: RtkAudUService64.exe
PID: 4992 | Name: RstMwService.exe
PID: 5024 | Name: chrome.exe
PID: 5052 | Name: SafeExamBrowser.Service.exe
PID: 5092 | Name: svchost.exe
PID: 5144 | Name: svchost.exe
PID: 5152 | Name: WMIRegistrationService.exe
PID: 5172 | Name: svchost.exe
PID: 5188 | Name: svchost.exe
PID: 5292 | Name: IntelConnectivityService.exe
PID: 5396 | Name: svchost.exe
PID: 5408 | Name: uihost.exe
PID: 5416 | Name: MsMpEng.exe
PID: 5708 | Name: WmiPrvSE.exe
PID: 5776 | Name: IDBWM.exe
PID: 5780 | Name: SecurityHealthService.exe
PID: 5800 | Name: TextInputHost.exe
PID: 5896 | Name: SearchIndexer.exe
PID: 5996 | Name: chrome.exe
PID: 6044 | Name: svchost.exe
PID: 6220 | Name: svchost.exe
PID: 6388 | Name: svchost.exe
PID: 6456 | Name: msedgewebview2.exe
PID: 6512 | Name: IDBWMService.exe
PID: 6604 | Name: IntelConnectService.exe
PID: 6916 | Name: IntelConnect.exe
PID: 6920 | Name: svchost.exe
PID: 6980 | Name: conhost.exe
PID: 7008 | Name: conhost.exe
PID: 7100 | Name: wlanext.exe
PID: 7204 | Name: conhost.exe
PID: 7264 | Name: fdm.exe
PID: 7272 | Name: browserhost.exe
PID: 7424 | Name: FileSyncHelper.exe
PID: 7472 | Name: svchost.exe
PID: 7496 | Name: chrome.exe
PID: 7544 | Name: WhatsApp.exe
PID: 7560 | Name: WUDFHost.exe
PID: 7580 | Name: msedgewebview2.exe
PID: 8144 | Name: svchost.exe
PID: 8240 | Name: AsusOptimizationStartupTask.exe
PID: 8452 | Name: ipf_helper.exe
PID: 8624 | Name: svchost.exe
PID: 8644 | Name: AggregatorHost.exe
PID: 8720 | Name: taskhostw.exe
PID: 8804 | Name: SearchHost.exe
PID: 8844 | Name: svchost.exe
PID: 8928 | Name: sihost.exe
PID: 8932 | Name: svchost.exe
PID: 8956 | Name: svchost.exe
PID: 8984 | Name: svchost.exe
PID: 8988 | Name: svchost.exe
PID: 9028 | Name: svchost.exe
PID: 9048 | Name: svchost.exe
PID: 9156 | Name: svchost.exe
PID: 9208 | Name: svchost.exe
PID: 9260 | Name: cmd.exe
PID: 9264 | Name: python.exe
PID: 9508 | Name: explorer.exe
PID: 9524 | Name: Code.exe
PID: 9572 | Name: msedgewebview2.exe
PID: 9576 | Name: ShellHost.exe
PID: 9772 | Name: svchost.exe
PID: 9948 | Name: RuntimeBroker.exe
PID: 10224 | Name: StartMenuExperienceHost.exe
PID: 10316 | Name: python.exe
PID: 10352 | Name: Widgets.exe
PID: 10392 | Name: RuntimeBroker.exe
PID: 10408 | Name: svchost.exe
PID: 10524 | Name: svchost.exe
PID: 10600 | Name: RuntimeBroker.exe
PID: 10904 | Name: BraveCrashHandler.exe
PID: 10932 | Name: BraveCrashHandler64.exe
PID: 10980 | Name: svchost.exe
PID: 11080 | Name: Code.exe
PID: 11212 | Name: chrome.exe
PID: 11240 | Name: Code.exe
PID: 11296 | Name: SystemSettings.exe
PID: 11572 | Name: msedgewebview2.exe
PID: 11716 | Name: unsecapp.exe
PID: 11968 | Name: msedgewebview2.exe
PID: 12004 | Name: SecurityHealthSystray.exe
PID: 12012 | Name: Code.exe
PID: 12052 | Name: UserOOBEBroker.exe
PID: 12092 | Name: msedgewebview2.exe
PID: 12100 | Name: ctfmon.exe
PID: 12112 | Name: AsusOLEDShifter.exe
PID: 12116 | Name: TabTip.exe
PID: 12124 | Name: msedgewebview2.exe
PID: 12240 | Name: NisSrv.exe
PID: 12436 | Name: svchost.exe
PID: 12464 | Name: msedgewebview2.exe
PID: 12476 | Name: PhoneExperienceHost.exe
PID: 12796 | Name: Code.exe
PID: 13120 | Name: AsusSystemAnalysis.exe
PID: 13228 | Name: chrome.exe
PID: 13612 | Name: Code.exe
PID: 13716 | Name: Code.exe
PID: 13804 | Name: svchost.exe
PID: 13932 | Name: svchost.exe
PID: 13948 | Name: AsusSoftwareManagerAgent.exe
PID: 13976 | Name: Code.exe
PID: 14124 | Name: Code.exe
PID: 14176 | Name: Code.exe
PID: 14576 | Name: msedgewebview2.exe
PID: 14588 | Name: conhost.exe
PID: 14604 | Name: OneDrive.exe
PID: 14648 | Name: servicehost.exe
PID: 14680 | Name: cmd.exe
PID: 14736 | Name: conhost.exe
PID: 14764 | Name: conhost.exe
PID: 14780 | Name: cmd.exe
PID: 14832 | Name: cmd.exe
PID: 14844 | Name: WmiPrvSE.exe
PID: 15024 | Name: CrossDeviceService.exe
PID: 15060 | Name: msedgewebview2.exe
PID: 15200 | Name: chrome.exe
PID: 15272 | Name: Code.exe
PID: 15420 | Name: msedgewebview2.exe
PID: 15536 | Name: Copilot.exe
PID: 15864 | Name: svchost.exe
PID: 16020 | Name: msedgewebview2.exe
PID: 16028 | Name: ms-teams.exe
PID: 16040 | Name: msedgewebview2.exe
PID: 16260 | Name: RuntimeBroker.exe
PID: 16344 | Name: msedgewebview2.exe
PID: 16532 | Name: msedgewebview2.exe
PID: 16724 | Name: AsusOSD.exe
PID: 16956 | Name: ms-teams.exe
PID: 17352 | Name: svchost.exe
PID: 17436 | Name: taskhostw.exe
PID: 17624 | Name: RuntimeBroker.exe
PID: 17680 | Name: ApplicationFrameHost.exe
PID: 17792 | Name: YourPhoneAppProxy.exe
PID: 17888 | Name: WidgetService.exe
PID: 17896 | Name: RuntimeBroker.exe
PID: 18084 | Name: msedgewebview2.exe
PID: 18204 | Name: msedgewebview2.exe
