CPU Usage: 3.4% | Memory Usage: 50.4% | Disk Usage: 32.8%
CPU Usage: 3.5% | Memory Usage: 50.6% | Disk Usage: 32.8%
CPU Usage: 2.7% | Memory Usage: 50.5% | Disk Usage: 32.8%
CPU Usage: 4.6% | Memory Usage: 50.5% | Disk Usage: 32.8%
CPU Usage: 2.7% | Memory Usage: 50.5% | Disk Usage: 32.8%
CPU Usage: 5.7% | Memory Usage: 50.5% | Disk Usage: 32.8%
CPU Usage: 3.3% | Memory Usage: 50.5% | Disk Usage: 32.8%
CPU Usage: 1.0% | Memory Usage: 50.4% | Disk Usage: 32.8%
CPU Usage: 2.5% | Memory Usage: 50.4% | Disk Usage: 32.8%
CPU Usage: 4.7% | Memory Usage: 50.4% | Disk Usage: 32.8%
CPU Usage: 2.9% | Memory Usage: 50.4% | Disk Usage: 32.8%
CPU Usage: 3.3% | Memory Usage: 50.5% | Disk Usage: 32.8%
CPU Usage: 3.7% | Memory Usage: 50.5% | Disk Usage: 32.8%
CPU Usage: 2.8% | Memory Usage: 50.3% | Disk Usage: 32.8%
CPU Usage: 0.9% | Memory Usage: 50.5% | Disk Usage: 32.8%
CPU Usage: 1.5% | Memory Usage: 50.6% | Disk Usage: 32.8%
CPU Usage: 3.0% | Memory Usage: 50.9% | Disk Usage: 32.8%
CPU Usage: 1.8% | Memory Usage: 50.8% | Disk Usage: 32.8%
CPU Usage: 1.3% | Memory Usage: 50.7% | Disk Usage: 32.8%
CPU Usage: 2.3% | Memory Usage: 50.6% | Disk Usage: 32.8%
CPU Usage: 3.0% | Memory Usage: 50.6% | Disk Usage: 32.8%
CPU Usage: 3.0% | Memory Usage: 50.6% | Disk Usage: 32.8%
CPU Usage: 1.6% | Memory Usage: 50.5% | Disk Usage: 32.8%
CPU Usage: 6.5% | Memory Usage: 50.8% | Disk Usage: 32.8%
CPU Usage: 4.2% | Memory Usage: 51.7% | Disk Usage: 32.8%
CPU Usage: 5.6% | Memory Usage: 52.3% | Disk Usage: 32.8%
CPU Usage: 8.6% | Memory Usage: 52.1% | Disk Usage: 32.8%
CPU Usage: 3.9% | Memory Usage: 50.6% | Disk Usage: 32.8%
CPU Usage: 4.1% | Memory Usage: 50.3% | Disk Usage: 32.8%
CPU Usage: 1.6% | Memory Usage: 49.8% | Disk Usage: 32.8%
CPU Usage: 1.9% | Memory Usage: 49.7% | Disk Usage: 32.8%


hey dude my name is krish mishra
